name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label
wangfeiyue,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
ayiterelif,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
hamarijuho,4,2,0.33333,1.00000,0.50000, [0 0 0 0], [0 0 1 1]
salojari,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
brengmanmalaika,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
jogeunsik,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0]
kimsangkyun,5,2,0.33333,0.50000,0.40000, [1 0 0 0 0], [0 0 0 1 1]
caiwei,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 0 1]
salloumsaida,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0]
wangfeiyue,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1]
average,,,0.63333,0.95000,0.76000
