name,n_pubs,n_clusters,precision,recall,f1, pred_label, base_label,acc
문미경,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
조영복,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김영석,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
정윤호,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 0 0 1],0.5
이영주,3,2,0.33333,1.00000,0.50000, [0 0 0], [0 1 1],0.3333333333333333
김재호,3,3,0.00000,0.00000,0.00000, [0 0 0], [0 1 2],0.0
박재형,4,2,0.50000,1.00000,0.66667, [0 0 0 0], [0 1 1 1],0.5
박동규,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
이병엽,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
김종우,3,2,0.00000,0.00000,0.00000, [2 1 0], [0 1 1],0.6666666666666666
이주현,3,1,1.00000,1.00000,1.00000, [0 0 0], [0 0 0],1.0
유재수,4,1,1.00000,1.00000,1.00000, [0 0 0 0], [0 0 0 0],1.0
average,,,0.69444,0.83333,0.75758,0.75
